year,month,day,wei,shu,wu,qun
2023,2,3,张辽 蔡文姬,赵云 诸葛亮,孙权 大乔,吕布 左慈
2023,3,3,司马懿 曹仁,徐庶 马岱,孙尚香 小乔,貂蝉 李儒
2023,3,31,夏侯惇 郭嘉,刘备 关羽,孙坚 周瑜,董卓 于吉
2023,4,28,曹丕 张春华,庞统 张飞,孙策 陆逊,左慈 祝融
2023,5,26,曹操 张辽,诸葛亮 赵云,黄盖 大乔,吕布 貂蝉
2023,6,23,司马懿 蔡文姬,马岱 徐庶,孙坚 孙尚香,于吉 董卓
2023,7,21,曹仁 夏侯惇,关羽 庞统,小乔 黄盖,袁绍 李儒
2023,8,18,曹丕 郭嘉,张飞 赵云,孙策 周瑜,左慈 祝融
2023,9,15,张春华 张辽,诸葛亮 马岱,孙权 陆逊,SP华佗 董卓
2023,10,13,蔡文姬 夏侯惇,关羽 徐庶,孙尚香 大乔,貂蝉 于吉
2023,11,10,曹丕 司马懿,刘备 庞统,孙坚 小乔,吕布 SP华佗
2023,12,8,曹仁 郭嘉,徐庶 张飞,孙策 周瑜,祝融 左慈
2024,1,5,曹操 蔡文姬,姜维 马岱,黄盖 大乔,董卓 李儒
2024,2,2,曹丕 张春华,赵云 诸葛亮,孙尚香 陆逊,吕布 SP华佗
2024,3,1,张辽 夏侯惇,徐庶 庞统,步练师 小乔,袁绍 貂蝉
2024,3,29,司马懿 曹仁,关羽 张飞,孙坚 孙策,于吉 SP华佗
2024,4,26,曹丕 郭嘉,姜维 马岱,孙权 周瑜,祝融 左慈
2024,5,24,张春华 蔡文姬,诸葛亮 徐庶,大乔 黄盖,李儒 董卓
2024,6,21,甄姬 夏侯惇,刘备 赵云,步练师 孙尚香,吕布 貂蝉
2024,7,19,曹丕 张辽,姜维 庞统,陆逊 小乔,SP华佗 于吉
2024,8,16,曹操 司马懿,徐庶 张飞,孙策 大乔,董卓 左慈
2024,9,13,曹仁 蔡文姬 甄姬,关羽 马岱 姜维,孙坚 步练师 周瑜,祝融 李儒 SP吕布
2024,10,11,郭嘉 夏侯惇 张春华,诸葛亮 庞统 赵云,孙尚香 陆逊 黄盖,袁绍 貂蝉 SP华佗
2024,11,8,曹丕 张辽 司马懿,张飞 徐庶 关羽,大乔 小乔 孙策,SP吕布 吕布 于吉
2024,12,6,甄姬 蔡文姬 曹丕,姜维 马岱 赵云,孙权 孙坚 周瑜,左慈 SP华佗 董卓
2025,1,3,曹仁 曹丕 郭嘉,SP马超 庞统 张飞,孙尚香 步练师 陆逊,貂蝉 李儒 SP吕布
2025,1,31,司马懿 张春华 夏侯惇,刘备 诸葛亮 徐庶,黄盖 SP甘宁 孙策,于吉 祝融 SP华佗
2025,2,28,蔡文姬 甄姬 张辽,关羽 赵云 姜维,孙坚 大乔 小乔,左慈 吕布 董卓
2025,3,28,曹操 曹仁 曹丕,马岱 SP马超 庞统,周瑜 孙尚香 步练师,SP吕布 貂蝉 SP华佗
2025,4,25,SP典韦 司马懿 张春华,诸葛亮 徐庶 张飞,黄盖 陆逊 SP甘宁,于吉 李儒 董卓
2025,5,23,蔡文姬 甄姬 夏侯惇,SP马超 赵云 马岱,大乔 孙策 孙坚,袁绍 吕布 祝融
