year,month,day,wei,shu,wu,qun
2023,2,17,郭嘉 夏侯惇,关羽 庞统,周瑜 黄盖,董卓 于吉
2023,3,18,蔡文姬 张春华,张飞 赵云,孙策 陆逊,吕布 左慈
2023,4,14,张辽 司马懿,诸葛亮 徐庶,孙尚香 小乔,貂蝉 李儒
2023,5,12,曹丕 夏侯惇,马岱 庞统,孙坚 大乔,董卓 于吉
2023,6,9,曹仁 郭嘉,关羽 张飞,周瑜 黄盖,吕布 祝融
2023,7,7,曹丕 蔡文姬,诸葛亮 赵云,陆逊 孙策,左慈 貂蝉
2023,8,4,张春华 张辽,徐庶 马岱,孙尚香 孙坚,董卓 吕布
2023,9,1,司马懿 夏侯惇,庞统 关羽,大乔 小乔,SP华佗 李儒
2023,9,29,曹仁 曹丕,赵云 张飞,周瑜 黄盖,于吉 祝融
2023,10,27,郭嘉 蔡文姬,诸葛亮 徐庶,孙策 陆逊,貂蝉 左慈
2023,11,24,张辽 张春华,马岱 关羽,大乔 孙尚香,李儒 董卓
2023,12,22,曹丕 夏侯惇,庞统 赵云,孙坚 小乔,吕布 SP华佗
2024,1,19,司马懿 曹仁,姜维 张飞,周瑜 黄盖,于吉 祝融
2024,2,16,蔡文姬 张辽,关羽 徐庶,步练师 孙策,左慈 SP华佗
2024,3,15,曹丕 郭嘉,诸葛亮 马岱,大乔 陆逊,貂蝉 董卓
2024,4,12,张春华 夏侯惇,庞统 赵云,孙尚香 小乔,吕布 李儒
2024,5,10,司马懿 曹仁,关羽 张飞,孙坚 步练师,于吉 SP华佗
